town,price_psm_median,price_psm_mean,rental_yield_pct_mean,price_growth_yoy,mom_change_pct_mean,investor_score,investor_rank,value_score,value_rank,momentum_score,momentum_rank,affordability_score,affordability_rank,liquidity_score,liquidity_rank,price_psm_count,market_activity_score
EC - CHOA CHU KANG AVENUE 5,15243.9,15182.38,,,,,,0.639345593958283,102.0,,,0.639345593958283,107.0,0.0025871129436494463,162.0,133,
EC - CHOA CHU KANG GROVE,15000.0,14820.45,,,,,,0.6476352809622699,98.0,,,0.6476352809622699,103.0,0.0352494138572237,41.0,537,
EC - CHOA CHU KANG NORTH 6,9366.67,9463.59,,,,,,0.8391012198313512,10.0,,,0.8391012198313512,28.0,0.0010510146333575876,182.5,114,
EC - CHOA CHU KANG STREET 64,9643.2,9564.14,,,,,,0.8297025025406072,11.0,,,0.8297025025406072,29.0,0.0041232112539413045,129.0,152,
EC - COMPASSVALE BOW,16838.22,15955.65,,,,,,0.5851577555646945,120.0,,,0.5851577555646945,124.0,0.007033713315546932,107.0,188,
EC - EDGEDALE PLAINS,13483.61,13585.53,,,,,,0.6991744301052609,74.0,,,0.6991744301052609,80.0,0.027164685908319185,54.0,437,
EC - EDGEFIELD PLAINS,11623.93,12324.01,,,,,,0.762381339197406,36.0,,,0.762381339197406,48.0,0.007761338830948338,102.0,197,
EC - FERNVALE CLOSE,13142.86,13131.0,,,,,,0.7107558603906587,63.0,,,0.7107558603906587,72.0,0.0035572802975179884,138.0,145,
EC - FERNVALE LANE,13178.29,13143.24,,,,,,0.7095516635454301,65.0,,,0.7095516635454301,73.0,0.06289918344247716,26.0,879,
EC - HOUGANG AVENUE 7,10685.01,10154.03,,,,,,0.7942934052973785,23.0,,,0.7942934052973785,37.0,0.00024254183846713557,200.0,104,
EC - PASIR RIS LINK,10999.06,11241.04,,,,,,0.7836194561231183,30.0,,,0.7836194561231183,42.0,0.005659309564233163,116.0,171,
EC - PASIR RIS RISE,12117.49,12330.82,,,,,,0.7456061939834342,45.0,,,0.7456061939834342,56.0,0.0034764330180289435,141.5,144,
EC - PASIR RIS STREET 72,10642.74,10422.38,,,,,,0.79573008044973,21.0,,,0.79573008044973,35.0,0.0010510146333575876,182.5,114,
EC - PLANTATION CLOSE,18382.72,18416.03,,,,,,0.5326632021507642,138.0,,,0.5326632021507642,140.0,0.08036219581211092,24.0,1095,
EC - PUNGGOL DRIVE,13301.09,12881.28,,,,,,0.7053779301953294,69.0,,,0.7053779301953294,76.0,0.003799822135985124,134.5,148,
EC - PUNGGOL FIELD WALK,11809.79,12361.49,,,,,,0.756064318998304,40.0,,,0.756064318998304,52.0,0.002991349341094672,156.5,138,
EC - PUNGGOL WALK,12612.76,12934.02,,,,,,0.7287729291926817,54.0,,,0.7287729291926817,64.0,0.027892311423720593,52.0,446,
EC - RIVERVALE LINK,10642.83,10318.33,,,,,,0.7957270215246363,22.0,,,0.7957270215246363,36.0,0.005740156843722209,114.5,172,
EC - SEGAR ROAD,12755.1,12186.61,,,,,,0.7239350692166773,58.0,,,0.7239350692166773,68.0,0.00606354596167839,112.0,176,
EC - SEMBAWANG CRESCENT,13737.37,13463.21,,,,,,0.6905496208632287,82.0,,,0.6905496208632287,88.0,0.026841296790363005,55.0,433,
EC - SENGKANG EAST AVENUE,13257.89,12739.98,,,,,,0.706846214240316,67.0,,,0.706846214240316,74.0,0.007357102433503113,103.5,192,
EC - SIMEI STREET 4,9818.0,9990.58,,,,,,0.823761390247467,13.0,,,0.823761390247467,31.0,0.0008084727948904519,188.5,111,
EC - SUMANG WALK,12422.14,12494.86,,,,,,0.735251732541185,48.0,,,0.735251732541185,59.0,0.002910502061605627,158.0,137,
EC - TAMPINES AVENUE 8,12640.45,12546.79,,,,,,0.7278317999055132,56.0,,,0.7278317999055132,66.0,0.005982698682189344,113.0,175,
EC - TAMPINES CENTRAL 7,13829.79,14188.92,,,,,,0.687408444672542,83.0,,,0.687408444672542,89.0,0.027488075026275365,53.0,441,
EC - TAMPINES STREET 62,18395.63,17176.57,,,,,,0.532224416340098,139.0,,,0.532224416340098,141.0,0.10308028134853262,23.0,1376,
EC - TAMPINES STREET 86,12660.71,12704.14,,,,,,0.7271432018788597,57.0,,,0.7271432018788597,67.0,0.04850836769342712,30.0,701,
EC - TAO CHING ROAD,13000.0,13599.07,,,,,,0.7156113941560935,61.0,,,0.7156113941560935,70.0,0.0035572802975179884,138.0,145,
