Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
SIGNATURE AT YISHUN,"1,350,000","1,097.93","1,230",Dec-25,YISHUN STREET 51,Resale,Strata,102,"13,235",-,Executive Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,01 to 05
OTTO PLACE,"1,535,000",871.88,"1,761",Dec-25,PLANTATION CLOSE,New Sale,Strata,81,"18,951",-,Executive Condominium,1,99 yrs lease commencing from 2024,24,Outside Central Region,01 to 05
OTTO PLACE,"1,571,000",904.18,"1,737",Dec-25,PLANTATION CLOSE,New Sale,Strata,84,"18,702",-,Executive Condominium,1,99 yrs lease commencing from 2024,24,Outside Central Region,01 to 05
AURELLE OF TAMPINES,"2,529,000","1,356.26","1,865",Dec-25,TAMPINES STREET 62,New Sale,Strata,126,"20,071",-,Executive Condominium,1,99 yrs lease commencing from 2024,18,Outside Central Region,06 to 10
AURELLE OF TAMPINES,"1,651,000",839.59,"1,966",Dec-25,TAMPINES STREET 62,New Sale,Strata,78,"21,167",-,Executive Condominium,1,99 yrs lease commencing from 2024,18,Outside Central Region,06 to 10
AURELLE OF TAMPINES,"1,773,000",925.7,"1,915",Dec-25,TAMPINES STREET 62,New Sale,Strata,86,"20,616",-,Executive Condominium,1,99 yrs lease commencing from 2024,18,Outside Central Region,01 to 05
THE BROWNSTONE,"1,435,000",936.47,"1,532",Dec-25,CANBERRA DRIVE,Resale,Strata,87,"16,494",-,Executive Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,06 to 10
AURELLE OF TAMPINES,"2,347,000","1,205.57","1,947",Dec-25,TAMPINES STREET 62,New Sale,Strata,112,"20,955",-,Executive Condominium,1,99 yrs lease commencing from 2024,18,Outside Central Region,11 to 15
AURELLE OF TAMPINES,"2,356,000","1,205.57","1,954",Dec-25,TAMPINES STREET 62,New Sale,Strata,112,"21,036",-,Executive Condominium,1,99 yrs lease commencing from 2024,18,Outside Central Region,11 to 15
AURELLE OF TAMPINES,"1,680,000",871.88,"1,927",Dec-25,TAMPINES STREET 62,New Sale,Strata,81,"20,741",-,Executive Condominium,1,99 yrs lease commencing from 2024,18,Outside Central Region,11 to 15
WOODSVALE,"1,160,000","1,280.92",906,Dec-25,WOODLANDS DRIVE 72,Resale,Strata,119,"9,748",-,Executive Condominium,1,99 yrs lease commencing from 1997,25,Outside Central Region,06 to 10
THE CRITERION,"1,223,888",914.94,"1,338",Dec-25,YISHUN STREET 51,Resale,Strata,85,"14,399",-,Executive Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,01 to 05
HUNDRED PALMS RESIDENCES,"1,630,000",882.65,"1,847",Dec-25,YIO CHU KANG ROAD,Resale,Strata,82,"19,878",-,Executive Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,01 to 05
THE FLORIDA,"1,600,000","1,388.56","1,152",Dec-25,HOUGANG AVENUE 7,Resale,Strata,129,"12,403",-,Executive Condominium,1,99 yrs lease commencing from 1997,19,Outside Central Region,06 to 10
ARC AT TAMPINES,"1,345,000",958,"1,404",Dec-25,TAMPINES AVENUE 8,Resale,Strata,89,"15,112",-,Executive Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,06 to 10
BELLEWATERS,"2,200,000","1,603.84","1,372",Dec-25,ANCHORVALE CRESCENT,Resale,Strata,149,"14,765",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,16 to 20
THE AMORE,"1,900,000","1,302.44","1,459",Dec-25,EDGEDALE PLAINS,Resale,Strata,121,"15,702",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,01 to 05
SEA HORIZON,"2,138,000","1,582.31","1,351",Dec-25,PASIR RIS RISE,Resale,Strata,147,"14,544",-,Executive Condominium,1,99 yrs lease commencing from 2013,18,Outside Central Region,06 to 10
WHITEWATER,"1,270,000","1,140.98","1,113",Dec-25,PASIR RIS STREET 72,Resale,Strata,106,"11,981",-,Executive Condominium,1,99 yrs lease commencing from 2002,18,Outside Central Region,01 to 05
AURELLE OF TAMPINES,"2,335,000","1,205.57","1,937",Dec-25,TAMPINES STREET 62,New Sale,Strata,112,"20,848",-,Executive Condominium,1,99 yrs lease commencing from 2024,18,Outside Central Region,11 to 15
HUNDRED PALMS RESIDENCES,"1,945,000","1,054.87","1,844",Dec-25,YIO CHU KANG ROAD,Resale,Strata,98,"19,847",-,Executive Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,01 to 05
ESPARINA RESIDENCES,"1,355,000",828.83,"1,635",Dec-25,COMPASSVALE BOW,Resale,Strata,77,"17,597",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,06 to 10
NORTHOAKS,"1,150,000","1,291.68",890,Dec-25,WOODLANDS CRESCENT,Resale,Strata,120,"9,583",-,Executive Condominium,1,99 yrs lease commencing from 1997,25,Outside Central Region,01 to 05
PINEVALE,"1,680,000","1,560.78","1,076",Dec-25,TAMPINES STREET 73,Resale,Strata,145,"11,586",-,Executive Condominium,1,99 yrs lease commencing from 1997,18,Outside Central Region,01 to 05
RIVERCOVE RESIDENCES,"1,780,000","1,076.4","1,654",Dec-25,ANCHORVALE LANE,Resale,Strata,100,"17,800",-,Executive Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,06 to 10
EASTVALE,"1,300,000","1,302.44",998,Dec-25,PASIR RIS DRIVE 3,Resale,Strata,121,"10,744",-,Executive Condominium,1,99 yrs lease commencing from 1996,18,Outside Central Region,01 to 05
THE VALES,"1,400,000",904.18,"1,548",Dec-25,ANCHORVALE CRESCENT,Resale,Strata,84,"16,667",-,Executive Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,11 to 15
RIVERCOVE RESIDENCES,"1,568,888",958,"1,638",Dec-25,ANCHORVALE LANE,Resale,Strata,89,"17,628",-,Executive Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,06 to 10
