Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
PARC ESTA,"1,550,000",742.72,"2,087",Apr-23,SIMS AVENUE,Sub Sale,Strata,69,"22,464",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,06 to 10
REGENT HEIGHTS,"980,000","1,022.58",958,Apr-23,BUKIT BATOK EAST AVENUE 5,Resale,Strata,95,"10,316",-,Condominium,1,99 yrs lease commencing from 1995,23,Outside Central Region,21 to 25
THE MINTON,"2,150,000","1,657.66","1,297",Apr-23,HOUGANG STREET 11,Resale,Strata,154,"13,961",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,06 to 10
10 SHELFORD,"885,000",462.85,"1,912",Apr-23,SHELFORD ROAD,Resale,Strata,43,"20,581",-,Apartment,1,Freehold,11,Core Central Region,01 to 05
TREASURE AT TAMPINES,"1,170,000",678.13,"1,725",Apr-23,TAMPINES LANE,Sub Sale,Strata,63,"18,571",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
AFFINITY AT SERANGOON,"830,000",473.62,"1,752",Apr-23,SERANGOON NORTH AVENUE 1,Sub Sale,Strata,44,"18,864",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
LEVILLE ISUITES,"738,000",398.27,"1,853",Apr-23,CEYLON ROAD,Resale,Strata,37,"19,946",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
PARC ESTA,"1,520,000",742.72,"2,047",Apr-23,SIMS AVENUE,Sub Sale,Strata,69,"22,029",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,06 to 10
RIVERFRONT RESIDENCES,"1,530,000",914.94,"1,672",Apr-23,HOUGANG AVENUE 7,Sub Sale,Strata,85,"18,000",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,16 to 20
WATERFORD RESIDENCE,"2,580,000","1,399.32","1,844",Apr-23,KIM YAM ROAD,Resale,Strata,130,"19,846",-,Apartment,1,999 yrs lease commencing from 1841,09,Core Central Region,06 to 10
SKY EDEN@BEDOK,"2,199,000","1,087.16","2,023",Apr-23,BEDOK CENTRAL,New Sale,Strata,101,"21,772",-,Apartment,1,99 yrs lease commencing from 2022,16,Outside Central Region,01 to 05
ONE BERNAM,"2,176,000",828.83,"2,625",Apr-23,BERNAM STREET,New Sale,Strata,77,"28,260",-,Apartment,1,99 yrs lease commencing from 2019,02,Core Central Region,11 to 15
RIVIERE,"3,298,000","1,173.28","2,811",Apr-23,JIAK KIM STREET,New Sale,Strata,109,"30,257",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,31 to 35
BERKELEY RESIDENCES,"1,300,000",764.24,"1,701",Apr-23,LORONG N TELOK KURAU,Resale,Strata,71,"18,310",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
THE ALPS RESIDENCES,"900,000",688.9,"1,306",Apr-23,TAMPINES STREET 86,Resale,Strata,64,"14,063",-,Condominium,1,99 yrs lease commencing from 2015,18,Outside Central Region,01 to 05
CHILTERN PARK,"1,300,000","1,097.93","1,184",Apr-23,SERANGOON AVENUE 3,Resale,Strata,102,"12,745",-,Condominium,1,99 yrs lease commencing from 1991,19,Outside Central Region,01 to 05
TANGLIN VIEW,"1,930,000","1,377.79","1,401",Apr-23,PRINCE CHARLES CRESCENT,Resale,Strata,128,"15,078",-,Condominium,1,99 yrs lease commencing from 1997,03,Rest of Central Region,01 to 05
PULLMAN RESIDENCES NEWTON,"1,488,000",462.85,"3,215",Apr-23,DUNEARN ROAD,New Sale,Strata,43,"34,605",-,Apartment,1,Freehold,11,Core Central Region,16 to 20
PULLMAN RESIDENCES NEWTON,"2,145,000",667.37,"3,214",Apr-23,DUNEARN ROAD,New Sale,Strata,62,"34,597",-,Apartment,1,Freehold,11,Core Central Region,21 to 25
RIVERBAY,"1,140,000",785.77,"1,451",Apr-23,MAR THOMA ROAD,Resale,Strata,73,"15,616",-,Apartment,1,999 yrs lease commencing from 1882,12,Rest of Central Region,16 to 20
VILLA MARINA,"1,650,000","1,420.85","1,161",Apr-23,JALAN SEMPADAN,Resale,Strata,132,"12,500",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
HIGH PARK RESIDENCES,"1,080,000",710.42,"1,520",Apr-23,FERNVALE ROAD,Resale,Strata,66,"16,364",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,01 to 05
BEDOK RESIDENCES,"1,048,000",581.26,"1,803",Apr-23,BEDOK NORTH DRIVE,Resale,Strata,54,"19,407",-,Apartment,1,99 yrs lease commencing from 2011,16,Outside Central Region,11 to 15
MELVILLE PARK,"856,000","1,044.11",820,Apr-23,SIMEI STREET 1,Resale,Strata,97,"8,825",-,Condominium,1,99 yrs lease commencing from 1992,18,Outside Central Region,06 to 10
PERFECT TEN,"2,789,500",796.54,"3,502",Apr-23,BUKIT TIMAH ROAD,New Sale,Strata,74,"37,696",-,Apartment,1,Freehold,10,Core Central Region,21 to 25
LEEDON GREEN,"1,865,000",613.55,"3,040",Apr-23,LEEDON HEIGHTS,New Sale,Strata,57,"32,719",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
HERITAGE EAST,"700,000",376.74,"1,858",Apr-23,EAST COAST ROAD,Resale,Strata,35,"20,000",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
PARC SEABREEZE,"3,200,000","1,593.07","2,009",Apr-23,JOO CHIAT ROAD,Resale,Strata,148,"21,622",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
LIVIA,"1,910,000","1,539.25","1,241",Apr-23,PASIR RIS GROVE,Resale,Strata,143,"13,357",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,11 to 15
OASIS @ ELIAS,"2,380,000","2,637.18",902,Apr-23,ELIAS ROAD,Resale,Strata,245,"9,714",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,16 to 20
ECHELON,"1,710,000",731.95,"2,336",Apr-23,ALEXANDRA VIEW,Resale,Strata,68,"25,147",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,36 to 40
PRINCIPAL GARDEN,"2,670,000","1,194.8","2,235",Apr-23,PRINCE CHARLES CRESCENT,Resale,Strata,111,"24,054",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,16 to 20
